seed_row,seed_col,kind,distance,n_chunk_pairs,last_band,embedding
finance,physics,between,0.728066,2,12,qwen3-embed-8b
finance,surreal,between,0.814824,4,12,qwen3-embed-8b
finance,finance,within,0.142784,1,12,qwen3-embed-8b
finance,biology,between,0.722866,4,12,qwen3-embed-8b
finance,war,between,0.808577,4,12,qwen3-embed-8b
finance,love,between,0.758426,4,12,qwen3-embed-8b
finance,recipe,between,0.815342,4,12,qwen3-embed-8b
finance,programming,between,0.703172,4,12,qwen3-embed-8b
finance,philosophy,between,0.777457,4,12,qwen3-embed-8b
finance,noise,between,0.783345,4,12,qwen3-embed-8b
biology,physics,between,0.730654,2,12,qwen3-embed-8b
biology,surreal,between,0.776935,4,12,qwen3-embed-8b
biology,finance,between,0.722866,4,12,qwen3-embed-8b
biology,biology,within,0.477955,1,12,qwen3-embed-8b
biology,war,between,0.762859,4,12,qwen3-embed-8b
biology,love,between,0.733942,4,12,qwen3-embed-8b
biology,recipe,between,0.728904,4,12,qwen3-embed-8b
biology,programming,between,0.692678,4,12,qwen3-embed-8b
biology,philosophy,between,0.777405,4,12,qwen3-embed-8b
biology,noise,between,0.723193,4,12,qwen3-embed-8b
war,physics,between,0.749968,2,12,qwen3-embed-8b
war,surreal,between,0.66836,4,12,qwen3-embed-8b
war,finance,between,0.808577,4,12,qwen3-embed-8b
war,biology,between,0.762859,4,12,qwen3-embed-8b
war,war,within,0.721066,1,12,qwen3-embed-8b
war,love,between,0.522321,4,12,qwen3-embed-8b
war,recipe,between,0.760156,4,12,qwen3-embed-8b
war,programming,between,0.78766,4,12,qwen3-embed-8b
war,philosophy,between,0.70123,4,12,qwen3-embed-8b
war,noise,between,0.698566,4,12,qwen3-embed-8b
love,physics,between,0.712565,2,12,qwen3-embed-8b
love,surreal,between,0.523679,4,12,qwen3-embed-8b
love,finance,between,0.758426,4,12,qwen3-embed-8b
love,biology,between,0.733942,4,12,qwen3-embed-8b
love,war,between,0.522321,4,12,qwen3-embed-8b
love,love,within,0.450959,1,12,qwen3-embed-8b
love,recipe,between,0.741063,4,12,qwen3-embed-8b
love,programming,between,0.804978,4,12,qwen3-embed-8b
love,philosophy,between,0.68129,4,12,qwen3-embed-8b
love,noise,between,0.568274,4,12,qwen3-embed-8b
recipe,physics,between,0.810581,2,12,qwen3-embed-8b
recipe,surreal,between,0.80039,4,12,qwen3-embed-8b
recipe,finance,between,0.815342,4,12,qwen3-embed-8b
recipe,biology,between,0.728904,4,12,qwen3-embed-8b
recipe,war,between,0.760156,4,12,qwen3-embed-8b
recipe,love,between,0.741063,4,12,qwen3-embed-8b
recipe,recipe,within,0.218773,1,12,qwen3-embed-8b
recipe,programming,between,0.84897,4,12,qwen3-embed-8b
recipe,philosophy,between,0.868122,4,12,qwen3-embed-8b
recipe,noise,between,0.766367,4,12,qwen3-embed-8b
programming,physics,between,0.707139,2,12,qwen3-embed-8b
programming,surreal,between,0.845513,4,12,qwen3-embed-8b
programming,finance,between,0.703172,4,12,qwen3-embed-8b
programming,biology,between,0.692678,4,12,qwen3-embed-8b
programming,war,between,0.78766,4,12,qwen3-embed-8b
programming,love,between,0.804978,4,12,qwen3-embed-8b
programming,recipe,between,0.84897,4,12,qwen3-embed-8b
programming,programming,within,0.36581,1,12,qwen3-embed-8b
programming,philosophy,between,0.773752,4,12,qwen3-embed-8b
programming,noise,between,0.804334,4,12,qwen3-embed-8b
philosophy,physics,between,0.731627,2,12,qwen3-embed-8b
philosophy,surreal,between,0.661966,4,12,qwen3-embed-8b
philosophy,finance,between,0.777457,4,12,qwen3-embed-8b
philosophy,biology,between,0.777405,4,12,qwen3-embed-8b
philosophy,war,between,0.70123,4,12,qwen3-embed-8b
philosophy,love,between,0.68129,4,12,qwen3-embed-8b
philosophy,recipe,between,0.868122,4,12,qwen3-embed-8b
philosophy,programming,between,0.773752,4,12,qwen3-embed-8b
philosophy,philosophy,within,0.0964293,1,12,qwen3-embed-8b
philosophy,noise,between,0.755303,4,12,qwen3-embed-8b
noise,physics,between,0.724743,2,12,qwen3-embed-8b
noise,surreal,between,0.559303,4,12,qwen3-embed-8b
noise,finance,between,0.783345,4,12,qwen3-embed-8b
noise,biology,between,0.723193,4,12,qwen3-embed-8b
noise,war,between,0.698566,4,12,qwen3-embed-8b
noise,love,between,0.568274,4,12,qwen3-embed-8b
noise,recipe,between,0.766367,4,12,qwen3-embed-8b
noise,programming,between,0.804334,4,12,qwen3-embed-8b
noise,philosophy,between,0.755303,4,12,qwen3-embed-8b
noise,noise,within,0.288165,1,12,qwen3-embed-8b
physics,physics,within,,0,12,gemini-embed-001
physics,surreal,between,0.294564,2,12,gemini-embed-001
physics,finance,between,0.342134,2,12,gemini-embed-001
physics,biology,between,0.387037,2,12,gemini-embed-001
physics,war,between,0.353633,2,12,gemini-embed-001
physics,love,between,0.272945,2,12,gemini-embed-001
physics,recipe,between,0.376892,2,12,gemini-embed-001
physics,programming,between,0.343319,2,12,gemini-embed-001
physics,philosophy,between,0.299297,2,12,gemini-embed-001
physics,noise,between,0.34535,2,12,gemini-embed-001
surreal,physics,between,0.294564,2,12,gemini-embed-001
surreal,surreal,within,0.175557,1,12,gemini-embed-001
surreal,finance,between,0.351833,4,12,gemini-embed-001
surreal,biology,between,0.387444,4,12,gemini-embed-001
surreal,war,between,0.306558,4,12,gemini-embed-001
surreal,love,between,0.223465,4,12,gemini-embed-001
surreal,recipe,between,0.366478,4,12,gemini-embed-001
surreal,programming,between,0.391775,4,12,gemini-embed-001
surreal,philosophy,between,0.308622,4,12,gemini-embed-001
surreal,noise,between,0.281837,4,12,gemini-embed-001
finance,physics,between,0.342134,2,12,gemini-embed-001
finance,surreal,between,0.351833,4,12,gemini-embed-001
finance,finance,within,0.127063,1,12,gemini-embed-001
finance,biology,between,0.363483,4,12,gemini-embed-001
finance,war,between,0.364065,4,12,gemini-embed-001
finance,love,between,0.331117,4,12,gemini-embed-001
finance,recipe,between,0.366598,4,12,gemini-embed-001
finance,programming,between,0.352638,4,12,gemini-embed-001
finance,philosophy,between,0.36156,4,12,gemini-embed-001
finance,noise,between,0.361244,4,12,gemini-embed-001
biology,physics,between,0.387037,2,12,gemini-embed-001
biology,surreal,between,0.387444,4,12,gemini-embed-001
biology,finance,between,0.363483,4,12,gemini-embed-001
biology,biology,within,0.316481,1,12,gemini-embed-001
biology,war,between,0.380651,4,12,gemini-embed-001
biology,love,between,0.366201,4,12,gemini-embed-001
biology,recipe,between,0.349118,4,12,gemini-embed-001
biology,programming,between,0.402743,4,12,gemini-embed-001
biology,philosophy,between,0.404313,4,12,gemini-embed-001
biology,noise,between,0.361352,4,12,gemini-embed-001
war,physics,between,0.353633,2,12,gemini-embed-001
war,surreal,between,0.306558,4,12,gemini-embed-001
war,finance,between,0.364065,4,12,gemini-embed-001
war,biology,between,0.380651,4,12,gemini-embed-001
war,war,within,0.383379,1,12,gemini-embed-001
war,love,between,0.261594,4,12,gemini-embed-001
war,recipe,between,0.343561,4,12,gemini-embed-001
war,programming,between,0.386764,4,12,gemini-embed-001
war,philosophy,between,0.356828,4,12,gemini-embed-001
war,noise,between,0.349994,4,12,gemini-embed-001
love,physics,between,0.272945,2,12,gemini-embed-001
love,surreal,between,0.223465,4,12,gemini-embed-001
love,finance,between,0.331117,4,12,gemini-embed-001
love,biology,between,0.366201,4,12,gemini-embed-001
love,war,between,0.261594,4,12,gemini-embed-001
love,love,within,0.233568,1,12,gemini-embed-001
love,recipe,between,0.313088,4,12,gemini-embed-001
love,programming,between,0.365838,4,12,gemini-embed-001
love,philosophy,between,0.321515,4,12,gemini-embed-001
love,noise,between,0.307971,4,12,gemini-embed-001
recipe,physics,between,0.376892,2,12,gemini-embed-001
recipe,surreal,between,0.366478,4,12,gemini-embed-001
recipe,finance,between,0.366598,4,12,gemini-embed-001
recipe,biology,between,0.349118,4,12,gemini-embed-001
recipe,war,between,0.343561,4,12,gemini-embed-001
recipe,love,between,0.313088,4,12,gemini-embed-001
recipe,recipe,within,0.0995365,1,12,gemini-embed-001
recipe,programming,between,0.412724,4,12,gemini-embed-001
recipe,philosophy,between,0.400336,4,12,gemini-embed-001
recipe,noise,between,0.352466,4,12,gemini-embed-001
programming,physics,between,0.343319,2,12,gemini-embed-001
programming,surreal,between,0.391775,4,12,gemini-embed-001
programming,finance,between,0.352638,4,12,gemini-embed-001
programming,biology,between,0.402743,4,12,gemini-embed-001
programming,war,between,0.386764,4,12,gemini-embed-001
programming,love,between,0.365838,4,12,gemini-embed-001
programming,recipe,between,0.412724,4,12,gemini-embed-001
programming,programming,within,0.23172,1,12,gemini-embed-001
programming,philosophy,between,0.376885,4,12,gemini-embed-001
programming,noise,between,0.386747,4,12,gemini-embed-001
philosophy,physics,between,0.299297,2,12,gemini-embed-001
philosophy,surreal,between,0.308622,4,12,gemini-embed-001
philosophy,finance,between,0.36156,4,12,gemini-embed-001
philosophy,biology,between,0.404313,4,12,gemini-embed-001
philosophy,war,between,0.356828,4,12,gemini-embed-001
philosophy,love,between,0.321515,4,12,gemini-embed-001
philosophy,recipe,between,0.400336,4,12,gemini-embed-001
philosophy,programming,between,0.376885,4,12,gemini-embed-001
philosophy,philosophy,within,0.0468562,1,12,gemini-embed-001
philosophy,noise,between,0.357239,4,12,gemini-embed-001
noise,physics,between,0.34535,2,12,gemini-embed-001
noise,surreal,between,0.281837,4,12,gemini-embed-001
noise,finance,between,0.361244,4,12,gemini-embed-001
noise,biology,between,0.361352,4,12,gemini-embed-001
noise,war,between,0.349994,4,12,gemini-embed-001
noise,love,between,0.307971,4,12,gemini-embed-001
noise,recipe,between,0.352466,4,12,gemini-embed-001
noise,programming,between,0.386747,4,12,gemini-embed-001
noise,philosophy,between,0.357239,4,12,gemini-embed-001
noise,noise,within,0.187742,1,12,gemini-embed-001
